id,replyCount,likeCount,publishedAt,authorName,text,authorChannelId,authorChannelUrl,isReply,isReplyTo,isReplyToName
Ugw7IjxKhm9Hg86kE_V4AaABAg,0,1,"2024-06-10 01:32:19",@crheubel14,👏👏,UCOpHExGIsqk7x4efdSXcWbQ,http://www.youtube.com/@crheubel14,0,,
UgzczfdnxJIy44SEtFZ4AaABAg,3,29,"2024-06-10 01:25:12",@vivianegsv4,"Quando as mulheres que apoiam essas ideias se derem conta do que está acontecendo vai ser tarde demais.",UCeQ8vvZ92I9m1fPNb4QzkbA,http://www.youtube.com/@vivianegsv4,0,,
UgzczfdnxJIy44SEtFZ4AaABAg.A4U_4p2oRB5A4V20LqG-ue,,3,"2024-06-10 05:46:44",@c4rolRdgs,"Estão invadindo cotas e esportes e a tendência é piorar.",UCORMBtvwZDVMGjBWfGuvILg,http://www.youtube.com/@c4rolRdgs,1,UgzczfdnxJIy44SEtFZ4AaABAg,@vivianegsv4
UgzczfdnxJIy44SEtFZ4AaABAg.A4U_4p2oRB5A4Wg4zcPare,,0,"2024-06-10 21:04:53",@guilhermesantos-bv5nl,"As mulheres tem que parar de alimentar esse monstro",UCnZg8x4qQpbgdYfZwYBcl5w,http://www.youtube.com/@guilhermesantos-bv5nl,1,UgzczfdnxJIy44SEtFZ4AaABAg,@vivianegsv4
UgzczfdnxJIy44SEtFZ4AaABAg.A4U_4p2oRB5A4am5_CLaiF,,0,"2024-06-12 20:33:35",@VICTORIAxFORTUNATO,"Nesse momento já e tarde de mais...",UC06KGxoNK1filYLXGESneRw,http://www.youtube.com/@VICTORIAxFORTUNATO,1,UgzczfdnxJIy44SEtFZ4AaABAg,@vivianegsv4
UgwUvTBBABGYnwL_Z3Z4AaABAg,16,143,"2024-06-10 01:19:33",@amandaLS04,"Sou mulher, tenho 28 anos e concordo com o Renan nesse vídeo. O movimento Trans está roubando nossos espaços e está rolando algo perverso SIM nesse sentido. Já presenciei muito discurso misógino ao extremo vindo de pessoas gays e trans próximas. Na época nao entendia, hoje entendo. Uma mistura de inveja e intolerancia.",UCcDmUXofWvvMLR3BF8HUuPg,http://www.youtube.com/@amandaLS04,0,,
UgwUvTBBABGYnwL_Z3Z4AaABAg.A4UZRQ6i1ZaA4V2N4WpkRG,,0,"2024-06-10 05:49:51",@BallerAmochuvaegatos,"Que espaço fia? Mulheres trans não tem NENHUM reconhecimento, e quanto tem, recebe críticas. Várias Mulheres Trans são estupradas,mortas diariamente, Elas não tem espaço NENHUM fia.",UCwCxhgafNB1WPHtWjZ4EAfw,http://www.youtube.com/@BallerAmochuvaegatos,1,UgwUvTBBABGYnwL_Z3Z4AaABAg,@amandaLS04
UgwUvTBBABGYnwL_Z3Z4AaABAg.A4UZRQ6i1ZaA4VcCMKWHSN,,3,"2024-06-10 11:11:42",@fillipegumes7352,"Voces que criaram isso, agora aguentem kkk",UCmpVXn6k7lP_7Vov2rdlOqQ,http://www.youtube.com/@fillipegumes7352,1,UgwUvTBBABGYnwL_Z3Z4AaABAg,@amandaLS04
UgwUvTBBABGYnwL_Z3Z4AaABAg.A4UZRQ6i1ZaA4VongJqvif,,0,"2024-06-10 13:01:47",@neonparadise3095,"Subproduto do ultra feminismo.",UCbFCYz_z7_4E6vshNeNNuSA,http://www.youtube.com/@neonparadise3095,1,UgwUvTBBABGYnwL_Z3Z4AaABAg,@amandaLS04
UgwUvTBBABGYnwL_Z3Z4AaABAg.A4UZRQ6i1ZaA4VrwQs_onV,,2,"2024-06-10 13:29:12",@cicerogaldino2228,"Faz o L que passa.😂. Mas falando sério: logo, logo dizer que é mulher ,sendo realmente mulher biológica , será crime.",UCu21MpTOKBUNOvy6uIujZhQ,http://www.youtube.com/@cicerogaldino2228,1,UgwUvTBBABGYnwL_Z3Z4AaABAg,@amandaLS04
